"","X","Date","Country","State","Case_Type","Cases","Difference","Prep_Flow_Runtime","Latest_Date","Lat","Long"
"185",88853,2020-02-11,"Malaysia","N/A","Recovered",3,2,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"186",88854,2020-02-11,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"187",88855,2020-02-11,"Malaysia","N/A","Confirmed",18,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"188",88856,2020-02-11,"Malaysia","N/A","Active",15,-2,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"189",89433,2020-03-07,"Malaysia","N/A","Recovered",23,1,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"190",89434,2020-03-07,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"191",89435,2020-03-07,"Malaysia","N/A","Confirmed",93,10,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"192",89436,2020-03-07,"Malaysia","N/A","Active",70,9,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"193",89869,2020-01-31,"Malaysia","N/A","Recovered",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"194",89870,2020-01-31,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"195",89871,2020-01-31,"Malaysia","N/A","Confirmed",8,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"196",89872,2020-01-31,"Malaysia","N/A","Active",8,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"197",90249,2020-01-30,"Malaysia","N/A","Recovered",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"198",90250,2020-01-30,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"199",90251,2020-01-30,"Malaysia","N/A","Confirmed",8,1,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"200",90252,2020-01-30,"Malaysia","N/A","Active",8,1,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"201",91181,2020-03-17,"Malaysia","N/A","Recovered",49,7,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"202",91182,2020-03-17,"Malaysia","N/A","Deaths",2,2,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"203",91183,2020-03-17,"Malaysia","N/A","Confirmed",673,107,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"204",91184,2020-03-17,"Malaysia","N/A","Active",622,98,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"205",91397,2020-02-09,"Malaysia","N/A","Recovered",1,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"206",91398,2020-02-09,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"207",91399,2020-02-09,"Malaysia","N/A","Confirmed",16,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"208",91400,2020-02-09,"Malaysia","N/A","Active",15,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
